questions,domain
What is CDC’s position on mandating flu vaccination for health care workers?,flu
Does CDC offer information for vaccine dosage and administration for health care workers?,flu
What is swine flu?,flu
How does swine flu spread among pigs?,flu
What is a variant influenza virus?,flu
What is H3N2v?,flu
How can a person catch a flu virus from a pig?,flu
How do people get infected with bird flu viruses?,flu
What is H7N9?,flu
What is influenza (flu)?,flu
What are the symptoms of influenza (flu)?,flu
How can you tell the difference between a common cold and influenza (flu)?,flu
When should you contact your doctor about influenza (flu)?,flu
How is influenza (flu) treated?,flu
Can you get medicine for influenza (flu)?,flu
Can you prevent influenza (flu)?,flu
Who should get the flu vaccine?,flu
Who shouldn’t get the flu vaccine?,flu
When should you get the flu vaccine?,flu
Why is influenza (flu) more dangerous for elderly or chronically ill people?,flu
When should you contact your healthcare provider if you have influenza (flu)?,flu
When should you go back to work or school if you have had the flu?,flu
What should my daily intake of calories be?,food and diet
Why should I change my diet after a heart attack?,food and diet
What is the glycaemic index (GI)?,food and diet
Do I need vitamin supplements?,food and diet
How can I find a registered dietitian or nutritionist?,food and diet
How can I gain weight safely?,food and diet
Can eating too much black liquorice be bad for you?,food and diet
Can reheating rice cause food poisoning?,food and diet
What is Down Syndrome?,genetic disorder
Are there different types of Down syndrome?,genetic disorder
How common is Down syndrome?,genetic disorder
What are the risk factors for having Down syndrome?,genetic disorder
What causes Down syndrome?,genetic disorder
What are the signs and symptoms of Down syndrome?,genetic disorder
Is there a way to know if our baby will have Down syndrome?,genetic disorder
What if we find out that our unborn baby has Down syndrome?,genetic disorder
How is Down syndrome treated?,genetic disorder
What other medical conditions are associated with Down syndrome?,genetic disorder
Is there a cure for Down syndrome or can it go away in time?,genetic disorder
Can Down syndrome be prevented?,genetic disorder
What is the outlook for people with Down syndrome?,genetic disorder
How long do people with Down syndrome live?,genetic disorder
Are people who have Down syndrome at greater risk for developing Alzheimer's disease?,genetic disorder
What resources available for people with Down syndrome and their families?,genetic disorder
Down syndrome and Turner syndrome are examples of genetic disorders. Does HIV/AIDS fall into this same category?,genetic disorder
How is sickle cell anemia inherited?,genetic disorder
"Hemophilia in humans is a recessive sex-linked disorder carried on the X chromosome. If a man with hemophilia and a woman who is a carrier have children, which outcome is possible?",genetic disorder
What are inherited and/or acquired factors that contribute to autism spectrum disorders (ASD) and attention-deficit/hyperactivity disorder (ADHD)?,genetic disorder
Could an epileptic child have autism as well?,genetic disorder
Who is most at risk for autism?,genetic disorder
What genetic mutation causes asthma?,genetic disorder
What genetic mutation causes congenital heart disease?,genetic disorder
What genetic mutation causes celiac disease?,genetic disorder
Is duplication a genetic mutations?,genetic disorder
Are all genetic disorders mutations?,genetic disorder
What are any three challenges that adults with autism spectrum disorder face?,genetic disorder
What is the current position regarding the etiology of autism spectrum disorder?,genetic disorder
What psychological framework underlies the treatment of autism spectrum disorder?,genetic disorder
Is autism a new disease?,genetic disorder
What is the spectrum of autism?,genetic disorder
How are many genetic disorders now identified?,genetic disorder
Are fine and gross motor skills commonly affected in autism?,genetic disorder
Does autism affect fine motor skills?,genetic disorder
What is the best treatment for autism and how effective is it?,genetic disorder
What are some of the proposed causes of autism?,genetic disorder
What are the types of autism?,genetic disorder
Is alcoholic cardiomyopathy genetic?,genetic disorder
"Why do so many people believe there is a link between autism and the measles, mumps, and rubella vaccine?",genetic disorder
What are the symptoms of Autism Spectrum Disorder?,genetic disorder
How does autism affect social interaction?,genetic disorder
Do children with autism display egoism?,genetic disorder
How does autism impact learning and cognitive development?,genetic disorder
What are 3 major symptoms of autism?,genetic disorder
Why does genetic mutation not include RNA?,genetic disorder
What type of genetic mutation is progeria?,genetic disorder
What genetic mutation causes prostate cancer?,genetic disorder
What genetic mutation causes retinitis pigmentosa?,genetic disorder
What genetic mutation causes holoprosencephaly?,genetic disorder
Are females or males more likely to be diagnosed with Autism?,genetic disorder
What is migraine rescue?,headache
What are abortive medications?,headache
What are preventative medications?,headache
Are there non-medication therapies for headaches?,headache
Does biofeedback work?,headache
Do over-the-counter headache medicines work?,headache
How important are lifestyle changes?,headache
How do you stop a migraine?,headache
Are migraines hereditary?,headache
What is a migraine trigger?,headache
Does migraine lead to stroke?,headache
What causes migraines?,headache
How do you prevent headaches?,headache
Is my headache a migraine?,headache
What is a cluster headache?,headache
What is a migraine aura?,headache
What is a complicated migraine?,headache
What is ophthalmic migraine?,headache
What is a migraine equivalent?,headache
What is a hypnic headache?,headache
What is hemicrania continua?,headache
What is temporal arteritis?,headache
What is paroxysmal hemicrania?,headache
What is SUNCT syndrome?,headache
What is menstrual migraine?,headache
What is a tension headache?,headache
Do we outgrow migraines?,headache
Are migraines dangerous?,headache
Do migraines go away with menopause?,headache
Can children get migraines?,headache
How common are headaches in adults?,headaches
What are the types of headaches?,headaches
Are headaches hereditary?,headaches
What causes headaches?,headaches
What causes migraines?,headaches
What triggers headaches and migraines?,headaches
What do headaches feel like?,headaches
What headache symptoms require immediate medical care?,headaches
How are headaches evaluated and diagnosed?,headaches
How are headaches treated?,headaches
How can I prevent headaches?,headaches
Can headaches or migraines be cured?,headaches
What if treatment doesn’t work?,headaches
When should I see my healthcare provider?,headaches
Are there any headache remedies I can try at home?,headaches
What’s a migraine? What does a migraine feel like?,headaches
What are the types of headaches? What type of headache is a migraine?,headaches
What is an aura?,headaches
What are the types of migraines?,headaches
What are the four stages or phases of a migraine? What’s the timeline?,headaches
How common are migraine headaches?,headaches
Who gets migraines? What are the risk factors?,headaches
How often do migraines happen?,headaches
Are migraines hereditary?,headaches
Can children get migraines?,headaches
Who should I see about my migraine pain?,headaches
"Do migraines cause permanent brain damage? If I have migraines, does that mean I’ll get another disease?",headaches
What are the symptoms of migraines?,headaches
What causes a migraine?,headaches
What triggers a migraine?,headaches
What’s a migraine journal?,headaches
How are migraines diagnosed?,headaches
What symptoms must you have to be diagnosed with a migraine?,headaches
Are migraines misdiagnosed?,headaches
How are migraines treated?,headaches
What medications are used to relieve migraine pain?,headaches
What’s biofeedback?,headaches
Are there surgical procedures that relieve migraines?,headaches
What are the treatment options for migraine headaches during pregnancy?,headaches
Can migraine headaches be prevented?,headaches
What is the prognosis (outlook) for people with migraines?,headaches
Is there a cure for migraines?,headaches
How long will I have migraine headaches?,headaches
"When should I seek immediate help, or contact my healthcare provider?",headaches
What questions should I ask my healthcare provider?,headaches
What is Hospice Care?,hospice care
Am I Eligible for Hospice Care?,hospice care
When Should I Start Hospice Care?,hospice care
What Services Does Hospice Care Provide?,hospice care
Where Does Hospice Take Place?,hospice care
Should I Include Hospice Care in My Advanced Care Planning?,hospice care
Do I Have to Stop Other Medication If I’m in Hospice?,hospice care
Will My Insurance Cover Hospice Care?,hospice care
Does Hospice Include 24/7 Care?,hospice care
How Does Hospice Benefit People with Advanced Dementia?,hospice care
What Are the Benefits of Using Hospice Care?,hospice care
Can clothes and towels spread germs?,infections
How long is someone infectious after a viral infection?,infections
How long will I be infectious after starting antibiotics?,infections
How should I collect and store a poo (stool) sample?,infections
How should I collect and store a pee (urine) sample?,infections
Can a hospital patient with MRSA infection have visitors?,infections
Is pneumonia contagious?,infections
What is the risk of infection from someone else's blood?,infections
What is blood pressure?,lifestyle
What are the health risks of smoking?,lifestyle
What are the health benefits of losing weight?,lifestyle
What is the body mass index (BMI)?,lifestyle
How can I work out my body mass index (BMI)?,lifestyle
Why is my waist size important?,lifestyle
Are sunbeds safe?,lifestyle
Can I go swimming after a piercing?,lifestyle
Am I more at risk if my relatives have cancer?,lifestyle
When can I fly after a heart attack?,lifestyle
Can damp and mould affect my health?,lifestyle
What is vitamin D deficiency?,lifestyle
Why is vitamin D so important?,lifestyle
What are the health effects of vitamin D deficiency?,lifestyle
What are the sources of vitamin D?,lifestyle
What does sunlight have to do with getting enough vitamin D?,lifestyle
What does your diet have to do with getting enough vitamin D?,lifestyle
How much vitamin D do you need?,lifestyle
What causes vitamin D deficiency?,lifestyle
What other factors can lead to vitamin D deficiency?,lifestyle
Can medications cause a vitamin D deficiency?,lifestyle
What are the signs and symptoms of vitamin D deficiency?,lifestyle
How is a vitamin D deficiency diagnosed?,lifestyle
What do vitamin D test results mean?,lifestyle
How often do you need to get your vitamin D levels checked?,lifestyle
How is vitamin D deficiency treated?,lifestyle
Can you ever have too much vitamin D?,lifestyle
How can I help prevent vitamin D deficiency?,lifestyle
What is the holistic system of medicine based on the healing power of nature?,lifestyle
What should I do if I miss a dose of antibiotics?,medicine
Can I drink alcohol while taking antibiotics?,medicine
When can I drink alcohol after finishing metronidazole?,medicine
Can I take paracetamol if I'm on antibiotics?,medicine
Can I take paracetamol and ibuprofen together?,medicine
Can I take paracetamol or ibuprofen with cough or cold medicines?,medicine
Can I drink alcohol if I'm taking painkillers?,medicine
Can I take cough and cold remedies while I'm breastfeeding?,medicine
Can I take hay fever medicine if I'm breastfeeding?,medicine
Can I take ibuprofen while I'm breastfeeding?,medicine
Can I take paracetamol while I'm breastfeeding?,medicine
Can I drink alcohol if I'm taking antidepressants?,medicine
What are side effects?,medicine
Why must some medicines be taken on an empty stomach?,medicine
Why must some medicines be taken with or after food?,medicine
Why do medicines have expiry dates?,medicine
Can I crush medicines before taking them?,medicine
Does grapefruit affect my medicine?,medicine
Does cannabis interact with antidepressants or lithium?,medicine
Can I take medicine before having a blood test?,medicine
Can I take my medicine abroad?,medicine
Where can I get an emergency supply of medicine?,medicine
How long is a prescription valid for?,medicine
Why can't hydrocortisone cream be used on the face?,medicine
Can I take anti-malaria medication if I'm trying for a baby?,medicine
Can post-exposure prophylaxis (PEP) stop me getting HIV?,medicine
Why can't I get a prescription for an over-the-counter medicine?,medicine
How can I improve my chances of becoming a dad?,men's health
Why is my penis smelly and sore?,men's health
What is this lump on my penis?,men's health
Is it normal to have a curved penis?,men's health
Why can I not get and keep an erection?,men's health
What should I do if my penis is torn?,men's health
What should I do if my erection will not go down?,men's health
What should my testicles look and feel like?,men's health
Why should I avoid sexual activity before a PSA test?,men's health
What is gynaecomastia?,men's health
What is bipolar disorder?,mental health
Who experiences bipolar disorder?,mental health
What causes bipolar disorder?,mental health
What are the symptoms of bipolar disorder?,mental health
How is bipolar disorder diagnosed?,mental health
What are the treatments for bipolar disorder?,mental health
Can bipolar disorder be prevented?,mental health
What can I expect after treatment?,mental health
What is depression?,mental health
How common is depression?,mental health
What are the types of depression?,mental health
What causes depression?,mental health
What are the symptoms of depression?,mental health
How is depression syndrome diagnosed?,mental health
How is depression syndrome treated?,mental health
Who is at risk for depression?,mental health
Can depression be prevented?,mental health
What’s the outlook for people with depression?,mental health
What can I do if I have depression?,mental health
What is an eating disorder?,mental health
How common are eating disorders?,mental health
What are the types of eating disorders?,mental health
Who is at risk for eating disorders?,mental health
What causes eating disorders?,mental health
What are the symptoms of eating disorders?,mental health
How is an eating disorder diagnosed?,mental health
What are the complications of eating disorders?,mental health
How are eating disorders managed or treated?,mental health
How can I prevent an eating disorder?,mental health
What is the prognosis (outlook) for people who have eating disorders?,mental health
When should I call the doctor?,mental health
What questions should I ask my doctor?,mental health
What is schizophrenia?,mental health
How common is schizophrenia?,mental health
Who gets schizophrenia?,mental health
"What is ""paranoid schizophrenia?""",mental health
What causes schizophrenia?,mental health
What kind of symptoms might people with schizophrenia have?,mental health
How is schizophrenia diagnosed?,mental health
Can schizophrenia be treated?,mental health
Where can I learn more?,mental health
What is post-traumatic stress disorder?,mental health
How common is PTSD?,mental health
Are some people more likely to develop PTSD than others?,mental health
What causes PTSD?,mental health
What are the symptoms of PTSD?,mental health
How does PTSD affect your life?,mental health
How is PTSD diagnosed?,mental health
What is the outlook for people with PTSD?,mental health
What else can I do to cope?,mental health
When should I seek immediate care?,mental health
What is substance abuse disorder (drug addiction)?,mental health
What are drugs of abuse?,mental health
Why do people with substance use disorder need more and more drugs over time?,mental health
Who is at risk for substance use disorder?,mental health
How common is substance use disorder?,mental health
How might substance use disorder affect me?,mental health
Why do people take drugs?,mental health
What are symptoms of substance use disorder?,mental health
How is substance use disorder diagnosed?,mental health
What are treatments for drug addiction?,mental health
What medications are available to help with substance use disorder?,mental health
Is treatment for drug addiction inpatient or outpatient?,mental health
Is there a cure for substance use disorder?,mental health
Can I prevent substance use disorder?,mental health
Are there conditions that raise the risk for substance use disorder?,mental health
What is the outlook for people with substance use disorder?,mental health
Are there long-term effects of addiction?,mental health
Can addiction come back?,mental health
Is drug addiction fatal?,mental health
How can I best take care of myself?,mental health
What else should I ask my healthcare provider?,mental health
How does acupuncture help anxiety and depression?,mental health
Do steroids decrease optic nerve inflammation?,miscellaneous
Is optic nerve drusen caused by head injury?,miscellaneous
Does optic nerve drusen cause blindness?,miscellaneous
Does optic nerve drusen cause glaucoma?,miscellaneous
Does optic nerve drusen cause vision loss?,miscellaneous
Are optic nerve atrophy and rod cone disease similar?,miscellaneous
Why does the macula swell?,miscellaneous
Is macula edema normal for retinopathy?,miscellaneous
Does inflammation of the macula cause eye pain?,miscellaneous
Does the eye macula heal itself?,miscellaneous
What is believed to be the pathophysiologic mechanism that underlines acute colonic pseudo-obstruction?,miscellaneous
What is stimming?,miscellaneous
What is congestive heart failure?,miscellaneous
What body system is affected by asthma? What are the normal functions of that system? How the functions are normally regulated?,miscellaneous
What is considered to be a normal PSA level?,miscellaneous
"What is the motivating operation that decreases the reinforcing effectiveness of a stimulus, object, or event?",miscellaneous
Which trisomy is associated with molar pregnancy?,miscellaneous
What does alcoholic cardiomyopathy feel like?,miscellaneous
What is alcoholic cardiomyopathy?,miscellaneous
Why does the left ventricle dilate in alcoholic cardiomyopathy?,miscellaneous
What are the symptoms of alcoholic cardiomyopathy?,miscellaneous
Does alcoholic cardiomyopathy cause the heart to enlarge?,miscellaneous
How common is alcoholic cardiomyopathy?,miscellaneous
How is alcoholic cardiomyopathy diagnosed?,miscellaneous
How much alcohol causes alcoholic cardiomyopathy?,miscellaneous
Is alcoholic cardiomyopathy reversible?,miscellaneous
What is social psychopharmacology?,miscellaneous
Which is not an economic classification of a drug?,miscellaneous
What are the parents genotypes for the gene responsible for CNM?,miscellaneous
What is delusional disorder? What are some forms of treatment?,miscellaneous
How might assigning a sexual dysfunction diagnosis to a non-distressed individual impact his or her well-being?,miscellaneous
How does the practice of malingering influence a psychologist?,miscellaneous
What is malingering? Why might it be important to evaluate malingering in a psychological or neuropsychological evaluation?,miscellaneous
Which H1 antihistamine has the strongest anti-emetic effects?,miscellaneous
What are the benefits of using complementary and alternative therapies in treating illness and pain?,miscellaneous
Why might one's eyes become red in summer?,miscellaneous
How is sexual dysfunction men and women treated?,miscellaneous
Who is affected by sexual problems?,miscellaneous
What is sexual dysfunction in men and women?,miscellaneous
What are the characteristics of the various sexual dysfunctions?,miscellaneous
What are the pathological processes associated with the death of the heart muscle?,miscellaneous
Which of the following structures is not associated with the right atrium?,miscellaneous
Where are the spermatozoa produced in the scrotum?,miscellaneous
What is an ectopic pacemaker? What would be the effect on the heart rate if an ectopic pacemaker took over for the SA node?,miscellaneous
What is inflammation of the inner lining of the heart called?,miscellaneous
How do digestion disorders impact the nutritional status of an individual?,miscellaneous
Is acupuncture an evidence-based practice?,miscellaneous
What health situation occurs when blood flow to a part of the cardiac muscle is blocked?,miscellaneous
What happens when someone eats a high glycemic diet that leads to large amounts of glucose in the blood?,miscellaneous
"For the Systemic primary deficiency (SPCD), what are a few of the Cellular Effects of Treatments?",miscellaneous
Which of the following opioid analgesics can produce an increase in the pulmonary arterial pressure and myocardial work?,miscellaneous
What are the possible effects of hydralazine (a vasodilator)?,miscellaneous
Which of the following changes can one look for with respect to potential gene targets?,miscellaneous
What are some common plant species that humans are allergic to?,miscellaneous
How do persons with paranoid psychosis usually respond to suggestions that they need treatment?,miscellaneous
What would happen to the heart (and the rest of the body) over a period of time if a partial blockage of the aortic semilunar valve occurred?,miscellaneous
Does conjunctiva cover the sclera?,miscellaneous
Are the sclera and cornea part of the conjunctiva?,miscellaneous
Can I eat and drink before having a blood test?,"operations, tests and procedures"
How can I find out my blood type (blood group)?,"operations, tests and procedures"
Can I eat or drink before an operation?,"operations, tests and procedures"
Should I stop taking antiplatelet medicines such as aspirin before minor surgery?,"operations, tests and procedures"
How long should I wear compression stockings after surgery?,"operations, tests and procedures"
Is it better to have a bath or shower after surgery?,"operations, tests and procedures"
How soon can I go swimming after surgery?,"operations, tests and procedures"
Do I need to change my diet after gallbladder surgery?,"operations, tests and procedures"
What do cancer stages and grades mean?,"operations, tests and procedures"
What is one of the most common side effects of terbutaline?,pregnancy
How will I feel when I'm pregnant?,pregnancy
What if I have any bleeding during my pregnancy?,pregnancy
Why do I need a midwife?,pregnancy
When should I arrange to see a midwife?,pregnancy
Can I exercise when pregnant?,pregnancy
How much exercise should I do?,pregnancy
How do I get a midwife?,pregnancy
Is it true I can get free dental care when I'm pregnant?,pregnancy
What should I eat when pregnant?,pregnancy
What foods should I avoid during pregnancy?,pregnancy
What other pre-natal vitamins or supplements do I need?,pregnancy
Why should I be taking folic acid tablets?,pregnancy
How much caffeine can I have during pregnancy?,pregnancy
Can I drink alcohol while I'm pregnant?,pregnancy
What about smoking and pregnancy?,pregnancy
What can I do if my back or hips are sore?,pregnancy
When will I start to feel the baby kicking?,pregnancy
How long does it usually take to get pregnant?,pregnancy
Can I get pregnant if I have sex without penetration?,pregnancy
Can I get pregnant just after my period has finished?,pregnancy
Can thrush harm my baby during pregnancy?,pregnancy
How much weight will I put on during my pregnancy?,pregnancy
Is it safe to use hair dye when I'm pregnant or breastfeeding?,pregnancy
Are sunbeds safe to use during pregnancy?,pregnancy
Is it safe to use a sauna or jacuzzi if I'm pregnant?,pregnancy
Is it safe to use fake tan during pregnancy?,pregnancy
Can paint fumes affect my unborn baby?,pregnancy
Is it safe to breastfeed if I have diarrhoea and vomiting?,pregnancy
What if I'm pregnant and I haven't had chickenpox?,pregnancy
How is chickenpox treated during pregnancy?,pregnancy
What are the risks of toxoplasmosis during pregnancy?,pregnancy
What are the risks of MRSA during pregnancy?,pregnancy
What are the risks of group B streptococcus (GBS) infection during pregnancy?,pregnancy
Is my unborn baby at risk of early-onset group B streptococcus (GBS) infection?,pregnancy
Are complementary therapies safe during pregnancy?,pregnancy
What complications can affect the placenta?,pregnancy
Can HIV be passed to an unborn baby in pregnancy or through breastfeeding?,pregnancy
When will my periods start again after pregnancy?,pregnancy
How soon can I use tampons after giving birth?,pregnancy
When will my periods return after a miscarriage?,pregnancy
What is female infertility?,pregnancy
How common is female infertility?,pregnancy
What causes female infertility?,pregnancy
Who is at risk for female infertility?,pregnancy
How does age impact female infertility?,pregnancy
What will my doctor ask during an appointment to diagnose female infertility?,pregnancy
What tests will my healthcare provider run to diagnose female infertility?,pregnancy
How is female infertility treated?,pregnancy
Can female infertility be prevented?,pregnancy
What is the outlook for female infertility?,pregnancy
When should I see my doctor about female infertility?,pregnancy
What are the early signs of pregnancy — and when will I notice them?,pregnancy
What are the odds of a false positive or a false negative on a pregnancy test?,pregnancy
Is it possible to be pregnant and not know it?,pregnancy
Is it really that dangerous to get pregnant after 35?,pregnancy
Is it safe to exercise during pregnancy?,pregnancy
What's the deal with eating fish during pregnancy?,pregnancy
Can I drink caffeine while pregnant?,pregnancy
Do I really get to eat for two during pregnancy?,pregnancy
Is it safe to fly while pregnant?,pregnancy
Why do some people have really small baby bumps?,pregnancy
Is an ultrasound the only way to find out the baby's sex?,pregnancy
Is it dangerous for me to sleep on my back while pregnant?,pregnancy
Why does pregnancy cause gas and digestive issues?,pregnancy
Is it safe to get a flu shot when you're pregnant?,pregnancy
Why do I feel so tired while pregnant?,pregnancy
Why am I having pregnancy cravings?,pregnancy
"Is ""pregnancy brain"" real?",pregnancy
Will I really have a bowel movement when I give birth?,pregnancy
Is there any way to prevent stretch marks?,pregnancy
Will my vagina always be different after delivery?,pregnancy
When can I start having sex after giving birth?,pregnancy
What are the early signs of pregnancy — and when will I notice them?,pregnancy
What are the odds of a false positive or a false negative on a pregnancy test?,pregnancy
Is it possible to be pregnant and not know it?,pregnancy
Is it really that dangerous to get pregnant after 35?,pregnancy
Is it safe to exercise during pregnancy?,pregnancy
What's the deal with eating fish during pregnancy?,pregnancy
Can I drink caffeine while pregnant?,pregnancy
Do I really get to eat for two during pregnancy?,pregnancy
Is it safe to fly while pregnant?,pregnancy
Why do some people have really small baby bumps?,pregnancy
Is an ultrasound the only way to find out the baby's sex?,pregnancy
Is it dangerous for me to sleep on my back while pregnant?,pregnancy
Why does pregnancy cause gas and digestive issues?,pregnancy
Is it safe to get a flu shot when you're pregnant?,pregnancy
Why do I feel so tired while pregnant?,pregnancy
Why am I having pregnancy cravings?,pregnancy
"Is ""pregnancy brain"" real?",pregnancy
Will I really have a bowel movement when I give birth?,pregnancy
Is there any way to prevent stretch marks?,pregnancy
Will my vagina always be different after delivery?,pregnancy
When can I start having sex after giving birth?,pregnancy
Can I access someone else's medical records (health records)?,services and treatments
Can I access the medical records (health records) of someone who has died?,services and treatments
Can I choose to see a male or female GP?,services and treatments
How do I register as a temporary resident with a GP?,services and treatments
How can I see a GP if I'm away from home?,services and treatments
How do I change my GP?,services and treatments
Do I need a GP referral for private treatment?,services and treatments
Can I choose where to receive treatment?,services and treatments
How do I organise transport to and from hospital?,services and treatments
Do I have the right to refuse treatment?,services and treatments
What is PALS (Patient Advice and Liaison Service)?,services and treatments
What is an orgasm?,sexual health
What is oral sex?,sexual health
What infections can I catch through oral sex?,sexual health
Are sex toys safe?,sexual health
Am I masturbating too much and can it be bad for me?,sexual health
Is masturbation normal?,sexual health
Can you become addicted to sex?,sexual health
Why does sex hurt?,sexual health
Is sex painful the first time?,sexual health
Does a woman always bleed when she has sex for the first time?,sexual health
Can you have sex during a period?,sexual health
Does anal sex have any health risks?,sexual health
Can premature ejaculation be controlled?,sexual health
What can cause orgasm problems in men?,sexual health
What can cause orgasm problems in women?,sexual health
What does a sex therapist do?,sexual health
Can a man catch thrush from a female partner?,sexual health
What should I do if I think I've got an STI?,sexual health
How soon do STI symptoms appear?,sexual health
What services do sexual health clinics (GUM clinics) provide?,sexual health
Will I be tested for chlamydia during my smear test?,sexual health
Should trans men have cervical screening tests?,sexual health
What's the difference between HPV and HIV?,sexual health
Can you catch HIV from kissing?,sexual health
Can HIV be transmitted through oral sex (fellatio and cunnilingus)?,sexual health
Do condoms always prevent HIV transmission?,sexual health
What is the life expectancy for someone with HIV?,sexual health
When is it safe to have sex after an abortion?,sexual health
Can I travel on a plane if I have a plaster cast?,travel health
How can I delay my period?,travel health
Is it safe to fly with a perforated eardrum?,travel health
What is a common adverse effect of beta blocker drugs?,treatment
Nitroglycerin (used medically as a vasodilator to treat heart conditions). Explain?,treatment
Which of the following M-cholinoblocking agents is used especially as an anti-asthmatic?,treatment
How can I tell when I'm ovulating?,women's health
What causes bleeding between periods?,women's health
What if I forget to remove my tampon?,women's health
Can a tampon get lost inside me?,women's health
What causes a woman to bleed after sex?,women's health
Can having an abortion affect my fertility?,women's health
How should I check my breasts?,women's health
What are pelvic floor exercises?,women's health
What is abnormal menstruation?,women's health
What causes abnormal menstruation (periods)?,women's health
How is abnormal menstruation (periods) diagnosed?,women's health
How is abnormal menstruation (periods) treated?,women's health
How can the risk of abnormal menstruation (periods) be reduced?,women's health
What is a urinary tract infection (UTI)?,women's health
What causes a urinary tract infection (UTI)?,women's health
What are symptoms of a urinary tract infection (UTI)?,women's health
What diagnostic tests will my child undergo?,women's health
What treatments/management approaches will be considered to care for my child?,women's health
When will my child be ready for discharge?,women's health
What will be the follow up for my child after discharge?,women's health
When should a child be hospitalized for UTI?,women's health
When should you call your healthcare provider?,women's health
What is menopause?,women's health
Why does menopause happen?,women's health
What are the hormonal changes during menopause?,women's health
How does natural menopause occur?,women's health
How long does perimenopause (the menopause transition) last?,women's health
What is premature menopause?,women's health
What are the symptoms of menopause?,women's health
What are hot flashes and how long will I have them?,women's health
What triggers a hot flash?,women's health
Can menopause cause facial hair growth?,women's health
Is having a hard time concentrating and being forgetful a normal part of menopause?,women's health
Can menopause cause depression?,women's health
Are there any other emotional changes that can happen during menopause?,women's health
How does menopause affect my bladder control?,women's health
Will I start menopause if I have a hysterectomy?,women's health
How is menopause diagnosed?,women's health
Can menopause be treated?,women's health
What is hormone therapy?,women's health
Are there any risks related to hormone therapy?,women's health
What are non-hormonal therapies for menopause?,women's health
Can my doctor prescribe non-hormonal medications?,women's health
Can I get pregnant during menopause?,women's health
What are the long-term health risks associated with menopause?,women's health
Will hormone therapy help prevent long-term health risks?,women's health
How do I know if changes in my periods are normal perimenopausal symptoms or something to be concerned about?,women's health
Can menopause affect sleep?,women's health
Can menopause affect my sex life?,women's health
Do all menopausal women experience a decrease in sexual desire?,women's health
Will I still enjoy sex after menopause?,women's health
Can menopause be a positive time of life?,women's health
